[2023-08-14T18:45:47]	[Trace]	Starting accelerometer reading...
[2023-08-14T18:46:00]	[Trace]	sum = 21
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = A5
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = 21
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = A5
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = 21
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = 21
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = 21
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = 21
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = 21
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = 21
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = 63
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = 63
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = 21
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = 21
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = 63
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = 63
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = 21
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = 21
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = 63
[2023-08-14T18:46:00]	[Debug]	Invalid input
[2023-08-14T18:46:00]	[Trace]	sum = 21
[2023-08-14T18:46:00]	[Debug]	Invalid input
